Partner-/Kundenummer;Datum;Datumformat
61401357;03.11.2017;20171103
61627017;03.11.2017;20171103
61120152;03.11.2017;20171103
61102254;03.11.2017;20171103
61401828;03.11.2017;20171103
61303129;03.11.2017;20171103
61103942;03.11.2017;20171103
61210436;03.11.2017;20171103
61102504;03.11.2017;20171103
61306087;03.11.2017;20171103
61609086;03.11.2017;20171103
61350076;03.11.2017;20171103
61620551;03.11.2017;20171103
61302242;03.11.2017;20171103
61302029;03.11.2017;20171103
61104351;03.11.2017;20171103
61403082;03.11.2017;20171103
61101973;03.11.2017;20171103
61100604;03.11.2017;20171103
61305865;03.11.2017;20171103
61236754;03.11.2017;20171103
61402503;03.11.2017;20171103
61250059;03.11.2017;20171103
61103169;03.11.2017;20171103
61300224;03.11.2017;20171103
61402482;03.11.2017;20171103
61350121;06.11.2017;20171106
61110080;06.11.2017;20171106
61303397;06.11.2017;20171106
61120057;06.11.2017;20171106
61210043;06.11.2017;20171106
61303336;06.11.2017;20171106
61402784;06.11.2017;20171106
61306053;06.11.2017;20171106
61304540;06.11.2017;20171106
61401605;06.11.2017;20171106
61402338;06.11.2017;20171106
61624258;06.11.2017;20171106
61402902;06.11.2017;20171106
61103209;06.11.2017;20171106
61102279;06.11.2017;20171106
61104125;06.11.2017;20171106
61303435;06.11.2017;20171106
61103527;06.11.2017;20171106
61304823;06.11.2017;20171106
61302502;06.11.2017;20171106
61102242;06.11.2017;20171106
61302212;06.11.2017;20171106
61103938;06.11.2017;20171106
61401926;06.11.2017;20171106
61120039;06.11.2017;20171106
61104128;06.11.2017;20171106
61103378;06.11.2017;20171106
61606245;06.11.2017;20171106
61302895;06.11.2017;20171106
61302428;06.11.2017;20171106
61280103;06.11.2017;20171106
61304554;06.11.2017;20171106
61305701;06.11.2017;20171106
61402746;06.11.2017;20171106
61210360;06.11.2017;20171106
61633549;06.11.2017;20171106
61402996;06.11.2017;20171106
61302917;06.11.2017;20171106
61403483;06.11.2017;20171106
61103827;06.11.2017;20171106
61401811;06.11.2017;20171106
61302982;06.11.2017;20171106
61100576;06.11.2017;20171106
61300011;06.11.2017;20171106
61100630;06.11.2017;20171106
61180266;06.11.2017;20171106
61633703;06.11.2017;20171106
61633513;06.11.2017;20171106
61401488;06.11.2017;20171106
61403211;06.11.2017;20171106
61170054;06.11.2017;20171106
61633201;06.11.2017;20171106
61633187;06.11.2017;20171106
61103916;06.11.2017;20171106
61260021;06.11.2017;20171106
61210120;06.11.2017;20171106
61303696;06.11.2017;20171106
61303695;06.11.2017;20171106
61401974;06.11.2017;20171106
61120091;06.11.2017;20171106
61100353;06.11.2017;20171106
61633682;06.11.2017;20171106
61100759;06.11.2017;20171106
61302612;06.11.2017;20171106
61104162;06.11.2017;20171106
61236570;06.11.2017;20171106
61103256;06.11.2017;20171106
61403587;06.11.2017;20171106
61220173;06.11.2017;20171106
61401735;06.11.2017;20171106
61402508;06.11.2017;20171106
61150024;06.11.2017;20171106
61402697;06.11.2017;20171106
61303617;06.11.2017;20171106
61290072;06.11.2017;20171106
61302657;06.11.2017;20171106
61101314;06.11.2017;20171106
61160075;06.11.2017;20171106
61403028;06.11.2017;20171106
61403244;06.11.2017;20171106
61290028;06.11.2017;20171106
61304002;06.11.2017;20171106
61302447;06.11.2017;20171106
61290052;06.11.2017;20171106
61210313;06.11.2017;20171106
61621186;06.11.2017;20171106
61220005;06.11.2017;20171106
61401965;06.11.2017;20171106
61310092;06.11.2017;20171106
61103452;06.11.2017;20171106
61402524;06.11.2017;20171106
61150038;06.11.2017;20171106
61103846;06.11.2017;20171106
61402154;06.11.2017;20171106
61300001;06.11.2017;20171106
61180013;06.11.2017;20171106
61260084;06.11.2017;20171106
61320018;06.11.2017;20171106
61401633;06.11.2017;20171106
61310023;06.11.2017;20171106
61402666;06.11.2017;20171106
61403247;06.11.2017;20171106
61120081;06.11.2017;20171106
61160144;06.11.2017;20171106
61633490;06.11.2017;20171106
61102017;06.11.2017;20171106
61303816;06.11.2017;20171106
61612119;06.11.2017;20171106
61100936;07.11.2017;20171107
61240053;07.11.2017;20171107
61306018;07.11.2017;20171107
61403272;07.11.2017;20171107
61120055;07.11.2017;20171107
61103507;07.11.2017;20171107
61402186;07.11.2017;20171107
61104454;07.11.2017;20171107
61402249;07.11.2017;20171107
61401291;07.11.2017;20171107
61402232;07.11.2017;20171107
61350039;07.11.2017;20171107
61236737;07.11.2017;20171107
61600229;07.11.2017;20171107
61620607;07.11.2017;20171107
61102254;07.11.2017;20171107
61403284;07.11.2017;20171107
61403235;07.11.2017;20171107
61609049;07.11.2017;20171107
61609046;07.11.2017;20171107
61609109;07.11.2017;20171107
61402862;07.11.2017;20171107
61304745;07.11.2017;20171107
61104319;07.11.2017;20171107
61402807;07.11.2017;20171107
61210225;07.11.2017;20171107
61101970;07.11.2017;20171107
61305016;07.11.2017;20171107
61302914;07.11.2017;20171107
61102938;07.11.2017;20171107
61190039;07.11.2017;20171107
61103430;07.11.2017;20171107
61120020;07.11.2017;20171107
61306215;07.11.2017;20171107
61110069;07.11.2017;20171107
61250079;07.11.2017;20171107
61300247;07.11.2017;20171107
61236709;07.11.2017;20171107
61302161;07.11.2017;20171107
61160068;07.11.2017;20171107
61350215;07.11.2017;20171107
61300321;07.11.2017;20171107
61305221;07.11.2017;20171107
61230055;07.11.2017;20171107
61102034;07.11.2017;20171107
61104126;07.11.2017;20171107
61104441;07.11.2017;20171107
61102945;07.11.2017;20171107
61302779;07.11.2017;20171107
61401499;07.11.2017;20171107
61102376;07.11.2017;20171107
61403404;07.11.2017;20171107
61104303;07.11.2017;20171107
61160016;07.11.2017;20171107
61102295;07.11.2017;20171107
61302444;07.11.2017;20171107
61260025;07.11.2017;20171107
61103677;07.11.2017;20171107
61102292;07.11.2017;20171107
61302412;07.11.2017;20171107
61103588;07.11.2017;20171107
61100276;07.11.2017;20171107
61103641;07.11.2017;20171107
61305819;07.11.2017;20171107
61401758;07.11.2017;20171107
61160085;07.11.2017;20171107
61302480;07.11.2017;20171107
61302670;07.11.2017;20171107
61401802;07.11.2017;20171107
61302492;07.11.2017;20171107
61260214;07.11.2017;20171107
61402595;07.11.2017;20171107
61303397;08.11.2017;20171108
61350133;08.11.2017;20171108
61280019;08.11.2017;20171108
61180277;08.11.2017;20171108
61402592;08.11.2017;20171108
61303347;08.11.2017;20171108
61180004;08.11.2017;20171108
61402208;08.11.2017;20171108
61101307;08.11.2017;20171108
61302778;08.11.2017;20171108
61102790;08.11.2017;20171108
61303174;08.11.2017;20171108
61104258;08.11.2017;20171108
61402556;08.11.2017;20171108
61180190;08.11.2017;20171108
61120104;08.11.2017;20171108
61101048;08.11.2017;20171108
61102380;08.11.2017;20171108
61180019;08.11.2017;20171108
61102973;08.11.2017;20171108
61403353;08.11.2017;20171108
61402999;08.11.2017;20171108
61302687;08.11.2017;20171108
61401557;08.11.2017;20171108
61306236;08.11.2017;20171108
61103927;08.11.2017;20171108
61270001;08.11.2017;20171108
61220037;08.11.2017;20171108
61210311;08.11.2017;20171108
61210311;08.11.2017;20171108
61403477;08.11.2017;20171108
61120079;08.11.2017;20171108
61103452;08.11.2017;20171108
61402769;08.11.2017;20171108
61401944;08.11.2017;20171108
61170247;08.11.2017;20171108
